Files,Labels
CR.1.2.840.113564.1722810170.20200313090023421700.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200313100318375460.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200317090830828260.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200317104341875470.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200318082923328940.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200319202613984410.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200320011259312440.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200320071047906500.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200320072856343530.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200320103403375580.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200320170359875720.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200320183426328780.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200321001546031810.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200321002029359840.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200321123520296900.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200321172326140930.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200321174111187570.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200321175414968590.1003000225002.png,0
CR.1.2.840.113564.1722810170.202003211812003285.1003000225002.png,1
CR.1.2.840.113564.1722810170.202003211940047348.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200322160314468140.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200322194859750610.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200323115834968210.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200323124328265260.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200323182218359470.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200324165957625920.1003000225002.png,1
CR.1.2.840.113564.1722810170.202003241816485934.1003000225002.png,0
CR.1.2.840.113564.1722810170.20200325010134750210.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200325012424140230.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200325212815187370.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200326010813390400.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200327151518468570.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200327154027828590.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200329163846250860.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200329171322703880.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200330111806125940.1003000225002.png,1
CR.1.2.840.113564.1722810170.20200401005822484360.1003000225002.png,0
